,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
10,47870267.0,1.0,4.0,23.0,1.0,3.0,4.0,29.0,1.0,10.0,0.0,13.0,1.0,1.0,15.0,0.0,2.0,0.0,2.0,3.0,21.0,2.0,3.0,6.0,5.0,1.0,0.0,6.0,1.0,15.0,6.0,0.0,4.0,11.0,4.0,2.0,0.0,18.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,9.0,12.0,1.0,1.0,17.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,21.0,3.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0
11,48959778.0,10.0,40.0,81.0,6.0,19.0,11.0,162.0,12.0,41.0,13.0,0.0,7.0,17.0,40.0,4.0,25.0,3.0,18.0,24.0,55.0,14.0,3.0,8.0,18.0,1.0,1.0,14.0,10.0,37.0,9.0,10.0,31.0,68.0,28.0,21.0,0.0,36.0,0.0,2.0,1.0,2.0,5.0,12.0,2.0,0.0,1.0,53.0,140.0,2.0,5.0,109.0,4.0,0.0,0.0,4.0,13.0,2.0,1.0,4.0,1.0,3.0,50.0,0.0,38.0,1.0,10.0,2.0,0.0,1.0,54.0,2.0,1.0,1.0,49.0,0.0,32.0,37.0,8.0,28.0,58.0,0.0,0.0,3.0,0.0,20.0,127.0,2.0,0.0,0.0,23.0,0.0,0.0
12,51035932.0,1.0,6.0,6.0,0.0,4.0,0.0,1.0,0.0,12.0,1.0,7.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
13,52077473.0,17.0,17.0,22.0,7.0,10.0,0.0,46.0,14.0,12.0,1.0,17.0,1.0,0.0,29.0,2.0,6.0,0.0,16.0,9.0,38.0,5.0,3.0,7.0,14.0,1.0,2.0,14.0,7.0,7.0,3.0,21.0,22.0,12.0,9.0,4.0,0.0,11.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,1.0,17.0,42.0,5.0,9.0,21.0,1.0,0.0,12.0,20.0,9.0,0.0,2.0,6.0,0.0,3.0,8.0,0.0,17.0,0.0,2.0,65.0,0.0,0.0,3.0,0.0,1.0,0.0,12.0,0.0,15.0,14.0,5.0,19.0,67.0,21.0,0.0,0.0,0.0,5.0,21.0,0.0,0.0,0.0,14.0,0.0,0.0
14,52915212.0,43.0,41.0,78.0,19.0,51.0,10.0,100.0,7.0,33.0,15.0,40.0,4.0,29.0,0.0,5.0,12.0,2.0,7.0,23.0,50.0,3.0,5.0,17.0,15.0,2.0,3.0,15.0,11.0,21.0,15.0,34.0,41.0,21.0,16.0,2.0,0.0,52.0,0.0,3.0,4.0,7.0,6.0,1.0,3.0,1.0,3.0,28.0,56.0,10.0,13.0,65.0,1.0,0.0,2.0,17.0,3.0,2.0,12.0,18.0,4.0,1.0,50.0,0.0,22.0,4.0,1.0,43.0,0.0,0.0,10.0,1.0,0.0,0.0,8.0,0.0,28.0,35.0,7.0,13.0,150.0,14.0,1.0,4.0,2.0,18.0,25.0,0.0,0.0,0.0,30.0,0.0,0.0
15,55169560.0,0.0,27.0,11.0,0.0,1.0,0.0,8.0,3.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,8.0,0.0,3.0,9.0,67.0,3.0,2.0,1.0,5.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,6.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,4.0,10.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,8.0,2.0,2.0,3.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0
16,55837229.0,1.0,49.0,22.0,0.0,5.0,6.0,18.0,4.0,7.0,2.0,25.0,1.0,6.0,12.0,8.0,0.0,1.0,14.0,67.0,38.0,0.0,3.0,2.0,7.0,0.0,1.0,10.0,1.0,0.0,15.0,0.0,3.0,3.0,39.0,66.0,0.0,8.0,4.0,12.0,0.0,2.0,17.0,2.0,11.0,0.0,7.0,14.0,189.0,0.0,0.0,38.0,30.0,0.0,9.0,0.0,50.0,3.0,11.0,1.0,12.0,6.0,3.0,0.0,0.0,1.0,41.0,2.0,0.0,3.0,22.0,16.0,6.0,0.0,12.0,0.0,22.0,4.0,14.0,45.0,7.0,0.0,4.0,30.0,3.0,95.0,72.0,4.0,0.0,0.0,13.0,0.0,0.0
17,58430383.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,69583235.0,1.0,21.0,22.0,3.0,5.0,8.0,29.0,6.0,10.0,2.0,18.0,0.0,16.0,7.0,3.0,14.0,0.0,0.0,16.0,60.0,5.0,150.0,6.0,15.0,1.0,1.0,19.0,7.0,7.0,6.0,0.0,11.0,12.0,12.0,9.0,0.0,5.0,2.0,2.0,0.0,11.0,8.0,3.0,3.0,2.0,2.0,9.0,36.0,1.0,1.0,14.0,2.0,0.0,2.0,4.0,9.0,5.0,19.0,2.0,1.0,2.0,6.0,0.0,9.0,0.0,3.0,2.0,0.0,0.0,4.0,10.0,4.0,2.0,5.0,0.0,15.0,5.0,9.0,22.0,13.0,1.0,0.0,7.0,0.0,13.0,11.0,0.0,0.0,0.0,34.0,0.0,0.0
19,71207287.0,1.0,66.0,48.0,0.0,12.0,1.0,44.0,7.0,14.0,3.0,24.0,2.0,9.0,23.0,9.0,67.0,1.0,16.0,0.0,65.0,5.0,12.0,10.0,29.0,2.0,12.0,17.0,13.0,7.0,20.0,0.0,14.0,7.0,38.0,37.0,3.0,22.0,13.0,15.0,0.0,10.0,36.0,2.0,25.0,1.0,10.0,21.0,130.0,1.0,1.0,35.0,25.0,0.0,23.0,1.0,47.0,10.0,19.0,2.0,15.0,7.0,8.0,0.0,11.0,2.0,15.0,3.0,0.0,6.0,18.0,16.0,8.0,0.0,15.0,0.0,25.0,12.0,8.0,40.0,16.0,0.0,6.0,42.0,3.0,129.0,62.0,0.0,1.0,0.0,35.0,0.0,0.0
