,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
12,241314646.0,18.0,11.0,85.0,0.0,121.0,48.0,93.0,32.0,9.0,103.0,260.0,0.0,25.0,50.0,2.0,2.0,0.0,2.0,18.0,1.0,17.0,12.0,19.0,20.0,13.0,326.0,1.0,8.0,11.0,117.0,114.0,3.0,31.0,38.0,1.0,0.0,6.0,0.0,0.0,10.0,3.0,15.0,5.0,3.0,5.0,7.0,0.0,19.0,49.0,19.0,241.0,10.0,83.0,15.0,11.0,2.0,5.0,17.0,2.0,1.0,4.0,27.0,191.0
13,243483518.0,7.0,3.0,62.0,1.0,13.0,5.0,6.0,18.0,3.0,8.0,12.0,25.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,14.0,1.0,0.0,19.0,0.0,0.0,0.0,3.0,7.0,5.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,7.0,0.0,67.0,5.0,18.0,1.0,0.0,2.0,21.0,0.0,2.0,11.0,2.0
14,246223044.0,3.0,5.0,2.0,0.0,5.0,6.0,17.0,0.0,1.0,22.0,45.0,50.0,2.0,0.0,0.0,1.0,2.0,1.0,9.0,0.0,1.0,2.0,0.0,4.0,3.0,59.0,3.0,2.0,6.0,36.0,28.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,2.0,17.0,0.0,54.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,59.0
15,247178120.0,14.0,15.0,2.0,0.0,8.0,8.0,0.0,0.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,6.0,4.0,7.0,4.0,0.0,0.0,13.0,0.0,0.0,2.0,3.0,3.0,12.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,7.0,14.0,6.0,4.0,6.0,3.0,13.0,0.0,2.0,1.0,13.0,0.0,1.0,0.0,11.0,5.0,11.0,0.0,3.0,1.0,0.0,0.0
16,253244593.0,19.0,21.0,11.0,0.0,9.0,12.0,1.0,5.0,7.0,3.0,2.0,2.0,4.0,1.0,6.0,0.0,6.0,10.0,5.0,0.0,1.0,11.0,0.0,0.0,2.0,6.0,11.0,10.0,14.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,7.0,11.0,17.0,8.0,10.0,4.0,4.0,11.0,0.0,1.0,2.0,10.0,2.0,2.0,4.0,6.0,7.0,8.0,1.0,5.0,0.0,1.0,0.0
17,253601596.0,15.0,17.0,5.0,0.0,3.0,10.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,11.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,7.0,10.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,6.0,8.0,17.0,9.0,10.0,3.0,2.0,22.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,8.0,7.0,9.0,0.0,3.0,1.0,0.0,0.0
18,254510174.0,60.0,96.0,8.0,0.0,23.0,49.0,0.0,1.0,8.0,4.0,0.0,2.0,0.0,1.0,7.0,10.0,11.0,0.0,6.0,0.0,0.0,47.0,0.0,0.0,7.0,11.0,19.0,44.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,30.0,43.0,89.0,44.0,18.0,15.0,5.0,107.0,0.0,2.0,0.0,82.0,0.0,0.0,0.0,13.0,27.0,30.0,0.0,19.0,0.0,1.0,0.0
19,255107141.0,12.0,13.0,6.0,0.0,20.0,13.0,2.0,1.0,4.0,11.0,5.0,18.0,0.0,9.0,4.0,5.0,3.0,6.0,0.0,1.0,0.0,8.0,0.0,1.0,5.0,17.0,7.0,7.0,13.0,7.0,8.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,8.0,10.0,5.0,9.0,5.0,1.0,11.0,1.0,3.0,10.0,5.0,0.0,3.0,0.0,4.0,4.0,10.0,0.0,3.0,2.0,0.0,5.0
20,255630029.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,260046126.0,8.0,6.0,28.0,0.0,9.0,2.0,2.0,35.0,5.0,8.0,1.0,17.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,10.0,3.0,1.0,12.0,5.0,5.0,0.0,0.0,2.0,1.0,0.0,4.0,18.0,0.0
