,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
10,59503113.0,49.0,489.0,546.0,566.0,326.0,152.0,146.0,685.0,205.0,0.0,74.0,273.0,5.0,16.0,6.0,18.0,0.0,293.0,110.0,17.0,409.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,192.0,41.0,15.0,40.0,28.0,20.0,5.0,288.0,679.0,14.0,11.0,306.0,88.0,30.0,0.0,72.0,41.0,14.0,118.0,49.0,2.0,104.0,144.0,3.0,20.0,84.0,112.0,308.0,110.0,2.0,359.0,121.0,175.0,3.0,42.0,3.0,140.0,5.0,0.0,87.0,0.0,329.0,0.0
11,71207287.0,3.0,67.0,41.0,50.0,41.0,24.0,21.0,55.0,13.0,74.0,0.0,22.0,15.0,4.0,72.0,150.0,0.0,93.0,15.0,37.0,38.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,77.0,23.0,36.0,6.0,78.0,101.0,7.0,130.0,59.0,5.0,42.0,190.0,28.0,87.0,0.0,7.0,22.0,36.0,28.0,18.0,2.0,8.0,165.0,45.0,6.0,18.0,72.0,86.0,17.0,1.0,140.0,8.0,16.0,0.0,6.0,6.0,32.0,16.0,2.0,80.0,12.0,33.0,0.0
12,78787098.0,29.0,190.0,182.0,153.0,146.0,59.0,118.0,157.0,119.0,273.0,22.0,0.0,2.0,3.0,9.0,12.0,0.0,135.0,32.0,15.0,196.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,169.0,72.0,4.0,23.0,18.0,13.0,3.0,87.0,255.0,0.0,14.0,124.0,74.0,12.0,0.0,25.0,18.0,8.0,68.0,9.0,3.0,44.0,50.0,2.0,9.0,77.0,58.0,134.0,42.0,0.0,102.0,42.0,46.0,1.0,46.0,1.0,33.0,4.0,0.0,63.0,0.0,143.0,2.0
13,101710782.0,0.0,5.0,0.0,2.0,2.0,1.0,2.0,4.0,1.0,5.0,15.0,2.0,0.0,0.0,8.0,13.0,0.0,6.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,3.0,0.0,6.0,10.0,1.0,10.0,6.0,2.0,4.0,15.0,2.0,6.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,22.0,7.0,0.0,1.0,6.0,6.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,6.0,0.0,0.0
14,101824385.0,0.0,0.0,5.0,10.0,1.0,1.0,0.0,16.0,4.0,16.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,106001054.0,2.0,10.0,1.0,7.0,9.0,3.0,6.0,5.0,5.0,6.0,72.0,9.0,8.0,0.0,0.0,150.0,0.0,15.0,3.0,30.0,8.0,51.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,115.0,16.0,33.0,7.0,47.0,98.0,6.0,155.0,25.0,2.0,52.0,135.0,11.0,44.0,0.0,2.0,20.0,33.0,8.0,9.0,3.0,1.0,187.0,56.0,0.0,8.0,49.0,43.0,5.0,1.0,123.0,4.0,1.0,0.0,2.0,0.0,5.0,13.0,1.0,57.0,9.0,7.0,2.0
16,142555961.0,3.0,47.0,19.0,23.0,21.0,14.0,15.0,19.0,3.0,18.0,150.0,12.0,13.0,1.0,150.0,0.0,0.0,67.0,8.0,62.0,16.0,35.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,75.0,18.0,122.0,12.0,73.0,133.0,5.0,161.0,43.0,3.0,64.0,432.0,17.0,142.0,0.0,1.0,15.0,29.0,21.0,8.0,0.0,4.0,225.0,67.0,2.0,11.0,39.0,59.0,11.0,3.0,158.0,10.0,8.0,0.0,10.0,8.0,8.0,12.0,0.0,53.0,25.0,22.0,2.0
17,159167229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,194594896.0,32.0,384.0,60.0,165.0,136.0,118.0,53.0,203.0,161.0,293.0,93.0,135.0,6.0,2.0,15.0,67.0,0.0,0.0,50.0,30.0,130.0,4.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,98.0,46.0,28.0,55.0,83.0,84.0,8.0,125.0,195.0,4.0,47.0,381.0,109.0,61.0,0.0,19.0,31.0,24.0,137.0,20.0,4.0,28.0,127.0,19.0,10.0,115.0,113.0,147.0,48.0,3.0,249.0,76.0,109.0,2.0,90.0,5.0,52.0,13.0,2.0,77.0,6.0,123.0,2.0
19,199190821.0,11.0,61.0,34.0,57.0,244.0,25.0,24.0,110.0,42.0,110.0,15.0,32.0,1.0,1.0,3.0,8.0,0.0,50.0,0.0,8.0,43.0,0.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,30.0,8.0,5.0,14.0,15.0,7.0,2.0,75.0,79.0,2.0,5.0,76.0,96.0,13.0,0.0,5.0,13.0,9.0,21.0,13.0,1.0,16.0,59.0,2.0,9.0,15.0,30.0,98.0,24.0,2.0,55.0,34.0,35.0,2.0,8.0,1.0,24.0,6.0,0.0,30.0,1.0,47.0,0.0
