,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
11,194920096.0,20.0,15.0,2.0,10.0,5.0,10.0,35.0,41.0,41.0,6.0,0.0,2.0,9.0,13.0,51.0,22.0,5.0,4.0,6.0,4.0,0.0,13.0,56.0,10.0,18.0,5.0,31.0,9.0,7.0,20.0,3.0,17.0,2.0,10.0,9.0,17.0,35.0,13.0,2.0,1.0,45.0,55.0,4.0,5.0,13.0,10.0,33.0,0.0,1.0,33.0,5.0,0.0,2.0,0.0,7.0,4.0,8.0,10.0,43.0,18.0,93.0,2.0,10.0,13.0,3.0,3.0,10.0,9.0,23.0,49.0,20.0,0.0,16.0,27.0,0.0,25.0,23.0,8.0,3.0,20.0,3.0,4.0,24.0,11.0,29.0,47.0,32.0
12,210824047.0,24.0,3.0,1.0,4.0,0.0,9.0,12.0,21.0,2.0,1.0,2.0,0.0,1.0,54.0,4.0,1.0,44.0,2.0,0.0,3.0,0.0,5.0,0.0,9.0,8.0,0.0,2.0,3.0,36.0,33.0,3.0,6.0,1.0,5.0,9.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,2.0,4.0,2.0,1.0,1.0,8.0,3.0,10.0,2.0,0.0,3.0,0.0,5.0,2.0,5.0,10.0,2.0,0.0,4.0,1.0,18.0,0.0,0.0,1.0,2.0,18.0,1.0,2.0,5.0,0.0,75.0,26.0,0.0,0.0,10.0,14.0,4.0,13.0,7.0,1.0,2.0,11.0,0.0,2.0,19.0
13,231672811.0,4.0,3.0,1.0,5.0,1.0,5.0,10.0,7.0,5.0,0.0,9.0,1.0,0.0,8.0,88.0,3.0,5.0,4.0,10.0,0.0,0.0,12.0,8.0,4.0,11.0,4.0,0.0,7.0,3.0,13.0,0.0,8.0,0.0,6.0,11.0,4.0,12.0,5.0,2.0,0.0,10.0,11.0,1.0,1.0,33.0,1.0,6.0,0.0,0.0,6.0,1.0,0.0,6.0,0.0,41.0,5.0,1.0,4.0,11.0,3.0,31.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,0.0,9.0,6.0,0.0,4.0,48.0,0.0,2.0,10.0,3.0,15.0,7.0,19.0,5.0,8.0,11.0
14,243336397.0,52.0,5.0,0.0,13.0,0.0,30.0,33.0,55.0,4.0,1.0,13.0,54.0,8.0,0.0,20.0,2.0,59.0,10.0,0.0,5.0,0.0,32.0,4.0,25.0,78.0,8.0,5.0,4.0,75.0,112.0,5.0,26.0,0.0,32.0,27.0,2.0,8.0,8.0,0.0,2.0,6.0,5.0,6.0,11.0,3.0,1.0,7.0,6.0,2.0,40.0,10.0,0.0,11.0,0.0,36.0,10.0,13.0,29.0,9.0,1.0,28.0,5.0,37.0,0.0,8.0,0.0,16.0,23.0,2.0,6.0,21.0,0.0,172.0,60.0,0.0,0.0,56.0,17.0,29.0,52.0,5.0,4.0,2.0,18.0,2.0,6.0,15.0
15,244511558.0,23.0,10.0,0.0,9.0,2.0,8.0,23.0,17.0,30.0,0.0,51.0,4.0,88.0,20.0,0.0,15.0,11.0,3.0,39.0,2.0,0.0,30.0,67.0,5.0,61.0,2.0,1.0,17.0,12.0,20.0,0.0,24.0,3.0,26.0,16.0,10.0,56.0,6.0,6.0,0.0,38.0,72.0,2.0,4.0,129.0,5.0,27.0,2.0,2.0,21.0,4.0,0.0,28.0,1.0,146.0,8.0,2.0,24.0,50.0,16.0,138.0,1.0,18.0,10.0,1.0,0.0,0.0,3.0,16.0,6.0,12.0,0.0,25.0,14.0,0.0,27.0,194.0,0.0,1.0,23.0,3.0,29.0,16.0,8.0,34.0,23.0,9.0
16,246223044.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,17.0,0.0,22.0,1.0,3.0,2.0,15.0,0.0,1.0,6.0,3.0,1.0,0.0,2.0,29.0,5.0,9.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,5.0,3.0,12.0,43.0,5.0,3.0,0.0,44.0,53.0,1.0,1.0,4.0,1.0,28.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,6.0,33.0,26.0,45.0,0.0,2.0,17.0,1.0,0.0,0.0,0.0,18.0,2.0,4.0,0.0,2.0,1.0,0.0,33.0,1.0,0.0,1.0,6.0,0.0,0.0,23.0,0.0,38.0,31.0,3.0
17,251196980.0,36.0,2.0,0.0,7.0,0.0,6.0,18.0,49.0,2.0,1.0,5.0,44.0,5.0,59.0,11.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,3.0,2.0,8.0,0.0,4.0,5.0,33.0,23.0,0.0,6.0,1.0,9.0,9.0,2.0,2.0,8.0,0.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,1.0,8.0,1.0,0.0,3.0,0.0,3.0,1.0,4.0,5.0,7.0,0.0,10.0,2.0,8.0,1.0,0.0,0.0,1.0,25.0,3.0,9.0,8.0,0.0,92.0,23.0,0.0,0.0,9.0,16.0,1.0,8.0,6.0,0.0,2.0,18.0,1.0,2.0,24.0
18,252052670.0,11.0,1.0,0.0,32.0,0.0,29.0,12.0,8.0,4.0,0.0,4.0,2.0,4.0,10.0,3.0,6.0,1.0,0.0,1.0,3.0,0.0,23.0,2.0,35.0,33.0,15.0,21.0,23.0,3.0,14.0,11.0,31.0,6.0,19.0,30.0,1.0,1.0,36.0,0.0,0.0,4.0,1.0,11.0,21.0,0.0,0.0,1.0,8.0,2.0,27.0,8.0,0.0,0.0,0.0,6.0,35.0,39.0,30.0,0.0,0.0,18.0,1.0,44.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,29.0,0.0,10.0,3.0,1.0,0.0,1.0,1.0,11.0,36.0,0.0,0.0,2.0,3.0,1.0,3.0,30.0
19,252488678.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,10.0,0.0,39.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,0.0,1.0,0.0,6.0,8.0,1.0,0.0,6.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,4.0,2.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,8.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0
20,255371410.0,2.0,0.0,0.0,24.0,0.0,17.0,11.0,3.0,0.0,0.0,4.0,3.0,0.0,5.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,18.0,0.0,19.0,18.0,12.0,12.0,19.0,3.0,4.0,5.0,22.0,8.0,20.0,21.0,0.0,1.0,13.0,0.0,0.0,6.0,0.0,6.0,11.0,4.0,0.0,1.0,33.0,2.0,19.0,8.0,0.0,1.0,0.0,8.0,22.0,15.0,24.0,5.0,0.0,7.0,2.0,53.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,5.0,2.0,0.0,0.0,9.0,2.0,10.0,28.0,1.0,1.0,1.0,0.0,0.0,0.0,22.0
