,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
10,37777426.0,36.0,37.0,9.0,15.0,50.0,0.0,48.0,33.0,48.0,0.0,21.0,10.0,15.0,2.0,19.0,34.0,30.0,23.0,13.0,1.0,12.0,5.0,17.0,16.0,6.0,23.0,94.0,9.0,4.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0,1.0,6.0,18.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,88.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,7.0,2.0,0.0,21.0,1.0,2.0,14.0,0.0,0.0,11.0,15.0,9.0,36.0,0.0,0.0,17.0
11,40585382.0,19.0,21.0,23.0,22.0,68.0,8.0,79.0,13.0,68.0,21.0,0.0,13.0,13.0,4.0,59.0,23.0,43.0,32.0,14.0,0.0,7.0,4.0,36.0,12.0,2.0,27.0,694.0,10.0,7.0,3.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,0.0,6.0,19.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,70.0,0.0,5.0,36.0,2.0,0.0,0.0,0.0,5.0,121.0,0.0,26.0,0.0,3.0,19.0,0.0,0.0,111.0,15.0,7.0,52.0,0.0,0.0,11.0
12,49147239.0,32.0,13.0,7.0,15.0,45.0,1.0,29.0,12.0,37.0,10.0,13.0,0.0,18.0,9.0,15.0,39.0,22.0,14.0,10.0,0.0,19.0,12.0,8.0,17.0,6.0,28.0,46.0,29.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,16.0,113.0,7.0,17.0,72.0,39.0,4.0,52.0,0.0,113.0,78.0,45.0,7.0,116.0,4.0,98.0,12.0,0.0,0.0,4.0,4.0,1.0,16.0,1.0,81.0,10.0,32.0,39.0,10.0,10.0,18.0,13.0,0.0,1.0,15.0
13,50302428.0,15.0,12.0,31.0,18.0,66.0,7.0,111.0,13.0,51.0,15.0,13.0,18.0,0.0,5.0,114.0,19.0,32.0,34.0,10.0,1.0,46.0,4.0,13.0,9.0,2.0,20.0,176.0,18.0,2.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,29.0,7.0,11.0,50.0,10.0,9.0,1.0,14.0,0.0,18.0,6.0,27.0,1.0,16.0,11.0,9.0,3.0,0.0,0.0,6.0,4.0,0.0,3.0,0.0,13.0,14.0,6.0,2.0,7.0,8.0,15.0,36.0,0.0,0.0,7.0
14,55837229.0,62.0,4.0,6.0,5.0,45.0,0.0,14.0,6.0,18.0,2.0,4.0,9.0,5.0,0.0,14.0,32.0,9.0,9.0,19.0,0.0,11.0,41.0,4.0,5.0,11.0,39.0,38.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,22.0,0.0,7.0,3.0,1.0,4.0,1.0,0.0,3.0,0.0,163.0,38.0,8.0,1.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,7.0,4.0,1.0,0.0,8.0,4.0,79.0,11.0,0.0,7.0,13.0
15,59587240.0,21.0,10.0,165.0,24.0,238.0,38.0,174.0,22.0,77.0,19.0,59.0,15.0,114.0,14.0,0.0,32.0,94.0,131.0,65.0,0.0,55.0,6.0,35.0,17.0,2.0,25.0,844.0,19.0,2.0,5.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,108.0,9.0,16.0,139.0,4.0,6.0,4.0,9.0,0.0,12.0,0.0,68.0,4.0,11.0,29.0,6.0,1.0,0.0,0.0,20.0,27.0,0.0,18.0,3.0,7.0,62.0,4.0,0.0,37.0,13.0,15.0,101.0,0.0,0.0,15.0
16,62010699.0,171.0,38.0,21.0,33.0,98.0,3.0,76.0,32.0,80.0,34.0,23.0,39.0,19.0,32.0,32.0,0.0,42.0,46.0,27.0,5.0,35.0,21.0,32.0,45.0,27.0,59.0,139.0,26.0,12.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,77.0,60.0,9.0,39.0,11.0,8.0,9.0,7.0,0.0,28.0,6.0,162.0,24.0,35.0,11.0,14.0,3.0,0.0,0.0,7.0,13.0,2.0,47.0,4.0,15.0,17.0,2.0,0.0,19.0,14.0,41.0,28.0,0.0,3.0,69.0
17,66680811.0,35.0,29.0,61.0,19.0,146.0,22.0,71.0,27.0,78.0,30.0,43.0,22.0,32.0,9.0,94.0,42.0,0.0,60.0,29.0,4.0,48.0,10.0,18.0,29.0,15.0,22.0,287.0,12.0,7.0,21.0,46.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,76.0,13.0,10.0,34.0,7.0,11.0,5.0,13.0,0.0,24.0,3.0,68.0,5.0,17.0,15.0,16.0,3.0,0.0,0.0,7.0,26.0,0.0,13.0,1.0,12.0,43.0,4.0,3.0,27.0,16.0,24.0,76.0,0.0,0.0,10.0
18,86976234.0,41.0,19.0,111.0,35.0,148.0,8.0,82.0,22.0,62.0,23.0,32.0,14.0,34.0,9.0,131.0,46.0,60.0,0.0,36.0,0.0,30.0,9.0,22.0,22.0,4.0,39.0,217.0,16.0,9.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,70.0,7.0,6.0,27.0,3.0,6.0,4.0,4.0,0.0,4.0,1.0,73.0,3.0,7.0,15.0,5.0,0.0,0.0,0.0,8.0,19.0,0.0,40.0,2.0,7.0,30.0,0.0,0.0,15.0,13.0,23.0,33.0,0.0,0.0,27.0
19,98730352.0,28.0,11.0,23.0,25.0,128.0,2.0,26.0,16.0,34.0,13.0,14.0,10.0,10.0,19.0,65.0,27.0,29.0,36.0,0.0,3.0,15.0,16.0,15.0,12.0,2.0,43.0,141.0,15.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,82.0,2.0,5.0,20.0,0.0,2.0,13.0,1.0,0.0,2.0,0.0,102.0,16.0,7.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,7.0,16.0,8.0,1.0,18.0,0.0,0.0,7.0,8.0,31.0,10.0,0.0,2.0,22.0
