,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,30887811.0,11.0,6.0,62.0,42.0,113.0,57.0,14.0,94.0,32.0,0.0,6.0,9.0,33.0,46.0,68.0,54.0,16.0,105.0,62.0,47.0,2.0,8.0,43.0,35.0,15.0,84.0,25.0,16.0,1.0,45.0,50.0,23.0,60.0,11.0,2.0,0.0,35.0,21.0,8.0,1.0,2.0,17.0,14.0,88.0,5.0,49.0,9.0,60.0,9.0,13.0,0.0,2.0,33.0,35.0,12.0,5.0,6.0,33.0,48.0,6.0,35.0,17.0,1.0,14.0,0.0,4.0,19.0,0.0,14.0,2.0,7.0,8.0,2.0,9.0,12.0,7.0,5.0,1.0,62.0,4.0,7.0,2.0,0.0,1.0,0.0,27.0,0.0,3.0,1.0,12.0,5.0,2.0,28.0,0.0,35.0,0.0,10.0,3.0,14.0
11,36953448.0,0.0,4.0,1.0,0.0,17.0,18.0,1.0,22.0,8.0,6.0,0.0,0.0,14.0,10.0,21.0,13.0,11.0,14.0,11.0,1.0,1.0,1.0,9.0,6.0,0.0,13.0,7.0,4.0,1.0,4.0,15.0,7.0,21.0,9.0,0.0,0.0,11.0,11.0,1.0,0.0,0.0,5.0,7.0,28.0,2.0,6.0,0.0,11.0,7.0,7.0,0.0,0.0,2.0,12.0,1.0,0.0,0.0,4.0,10.0,1.0,0.0,3.0,0.0,8.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,7.0,0.0,2.0,0.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,10.0
12,43789332.0,6.0,1.0,91.0,102.0,56.0,33.0,14.0,97.0,2.0,9.0,0.0,0.0,104.0,13.0,585.0,8.0,333.0,90.0,92.0,41.0,173.0,637.0,3.0,13.0,8.0,57.0,4.0,5.0,21.0,38.0,17.0,3.0,21.0,103.0,224.0,3.0,2.0,1.0,1.0,1.0,106.0,264.0,12.0,689.0,3.0,20.0,5.0,28.0,134.0,28.0,0.0,83.0,17.0,6.0,1.0,0.0,1.0,4.0,9.0,4.0,2.0,300.0,0.0,2.0,0.0,8.0,9.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,71.0,22.0,3.0,0.0,4.0,150.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,35.0,5.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0
13,44299861.0,23.0,39.0,35.0,30.0,135.0,123.0,18.0,218.0,61.0,33.0,14.0,104.0,0.0,65.0,471.0,138.0,163.0,192.0,188.0,14.0,59.0,311.0,66.0,65.0,1.0,62.0,54.0,18.0,24.0,68.0,141.0,85.0,149.0,81.0,119.0,0.0,48.0,33.0,5.0,12.0,34.0,107.0,81.0,461.0,13.0,74.0,8.0,58.0,88.0,26.0,0.0,32.0,26.0,49.0,16.0,13.0,7.0,29.0,76.0,7.0,32.0,139.0,1.0,24.0,0.0,16.0,27.0,0.0,30.0,1.0,3.0,21.0,7.0,14.0,14.0,5.0,25.0,19.0,90.0,2.0,6.0,57.0,0.0,1.0,0.0,26.0,1.0,2.0,11.0,36.0,24.0,6.0,27.0,0.0,39.0,0.0,12.0,3.0,31.0
14,48959778.0,17.0,12.0,30.0,41.0,185.0,76.0,17.0,161.0,48.0,46.0,10.0,13.0,65.0,0.0,120.0,113.0,27.0,157.0,95.0,27.0,5.0,30.0,55.0,58.0,8.0,52.0,75.0,18.0,5.0,70.0,116.0,53.0,80.0,24.0,4.0,1.0,60.0,36.0,8.0,1.0,6.0,38.0,24.0,178.0,7.0,133.0,21.0,101.0,25.0,23.0,0.0,11.0,39.0,57.0,22.0,12.0,5.0,49.0,54.0,5.0,104.0,26.0,1.0,15.0,0.0,9.0,72.0,0.0,38.0,3.0,6.0,10.0,3.0,19.0,11.0,12.0,9.0,4.0,76.0,5.0,16.0,6.0,0.0,1.0,0.0,50.0,0.0,1.0,1.0,17.0,22.0,1.0,59.0,0.0,126.0,0.0,10.0,6.0,23.0
15,49388157.0,50.0,62.0,138.0,248.0,329.0,291.0,100.0,477.0,90.0,68.0,21.0,585.0,471.0,120.0,0.0,253.0,205.0,410.0,1203.0,107.0,371.0,2273.0,87.0,167.0,17.0,152.0,51.0,30.0,100.0,216.0,173.0,148.0,189.0,616.0,836.0,5.0,60.0,47.0,9.0,57.0,420.0,494.0,139.0,3059.0,20.0,118.0,7.0,112.0,469.0,117.0,0.0,67.0,71.0,86.0,23.0,29.0,7.0,44.0,127.0,7.0,30.0,365.0,0.0,26.0,0.0,33.0,56.0,0.0,36.0,6.0,6.0,19.0,4.0,12.0,17.0,12.0,139.0,119.0,107.0,6.0,12.0,168.0,0.0,1.0,0.0,33.0,1.0,2.0,28.0,86.0,45.0,21.0,33.0,3.0,50.0,0.0,12.0,2.0,36.0
16,50552213.0,11.0,29.0,46.0,55.0,199.0,158.0,12.0,201.0,75.0,54.0,13.0,8.0,138.0,113.0,253.0,0.0,49.0,241.0,136.0,12.0,4.0,18.0,77.0,56.0,7.0,78.0,486.0,24.0,10.0,54.0,182.0,92.0,191.0,53.0,4.0,0.0,79.0,56.0,24.0,8.0,4.0,40.0,76.0,353.0,13.0,156.0,14.0,83.0,51.0,50.0,0.0,4.0,37.0,90.0,19.0,11.0,10.0,40.0,111.0,9.0,25.0,27.0,3.0,29.0,0.0,16.0,42.0,0.0,73.0,7.0,7.0,19.0,5.0,25.0,23.0,11.0,6.0,2.0,122.0,6.0,24.0,4.0,0.0,1.0,3.0,60.0,5.0,3.0,3.0,38.0,15.0,0.0,35.0,1.0,54.0,0.0,17.0,3.0,42.0
17,50594829.0,11.0,22.0,34.0,32.0,70.0,41.0,6.0,96.0,107.0,16.0,11.0,333.0,163.0,27.0,205.0,49.0,0.0,176.0,33.0,12.0,104.0,966.0,69.0,32.0,0.0,27.0,15.0,15.0,20.0,30.0,103.0,24.0,48.0,13.0,104.0,0.0,38.0,33.0,33.0,2.0,14.0,178.0,30.0,339.0,36.0,42.0,19.0,28.0,104.0,28.0,0.0,137.0,19.0,76.0,10.0,3.0,17.0,13.0,48.0,19.0,7.0,569.0,11.0,41.0,0.0,20.0,9.0,0.0,43.0,6.0,12.0,45.0,22.0,19.0,8.0,15.0,76.0,16.0,75.0,3.0,48.0,249.0,0.0,3.0,4.0,32.0,30.0,7.0,4.0,95.0,2.0,3.0,22.0,0.0,16.0,0.0,30.0,1.0,34.0
18,50645038.0,59.0,40.0,130.0,117.0,386.0,310.0,41.0,408.0,148.0,105.0,14.0,90.0,192.0,157.0,410.0,241.0,176.0,0.0,280.0,78.0,100.0,154.0,145.0,151.0,17.0,156.0,84.0,32.0,24.0,183.0,273.0,160.0,263.0,79.0,54.0,7.0,79.0,92.0,32.0,28.0,31.0,114.0,129.0,661.0,22.0,418.0,16.0,197.0,85.0,96.0,0.0,9.0,155.0,175.0,54.0,41.0,14.0,98.0,154.0,11.0,116.0,92.0,3.0,29.0,0.0,39.0,65.0,0.0,44.0,4.0,16.0,28.0,4.0,24.0,20.0,26.0,18.0,8.0,232.0,5.0,18.0,52.0,0.0,1.0,1.0,55.0,1.0,4.0,2.0,57.0,38.0,8.0,63.0,1.0,95.0,0.0,21.0,5.0,75.0
19,51478771.0,62.0,35.0,52.0,52.0,270.0,207.0,43.0,283.0,101.0,62.0,11.0,92.0,188.0,95.0,1203.0,136.0,33.0,280.0,0.0,40.0,46.0,241.0,130.0,164.0,5.0,74.0,26.0,36.0,15.0,140.0,193.0,128.0,124.0,282.0,111.0,2.0,54.0,47.0,15.0,61.0,83.0,115.0,102.0,819.0,16.0,160.0,9.0,160.0,167.0,51.0,0.0,7.0,86.0,98.0,28.0,29.0,4.0,82.0,98.0,4.0,117.0,51.0,1.0,20.0,0.0,25.0,60.0,0.0,26.0,3.0,17.0,24.0,3.0,21.0,15.0,18.0,29.0,37.0,159.0,6.0,13.0,21.0,0.0,1.0,1.0,38.0,0.0,3.0,13.0,33.0,23.0,8.0,70.0,0.0,98.0,0.0,8.0,1.0,33.0
