,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
10,65766056.0,47.0,20.0,12.0,83.0,29.0,10.0,12.0,2.0,29.0,0.0,4.0,6.0,3.0,9.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,11.0,25.0,4.0,0.0,0.0,4.0,15.0,0.0,2.0,5.0,62.0,7.0,6.0,1.0,4.0,25.0,0.0,0.0,14.0,13.0,4.0,13.0,0.0,0.0,5.0,3.0,26.0,10.0,2.0,0.0,0.0,19.0,6.0,22.0,4.0,1.0,12.0,0.0,16.0,2.0,2.0,15.0,0.0,0.0,0.0,118.0,23.0,0.0,0.0,47.0,5.0,0.0
11,71294722.0,3.0,29.0,0.0,9.0,4.0,0.0,33.0,0.0,11.0,4.0,0.0,1.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,0.0,0.0,0.0,15.0,8.0,0.0,19.0,0.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,90.0,0.0,2.0,7.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,30.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0
12,75055396.0,0.0,15.0,2.0,5.0,1.0,0.0,3.0,0.0,7.0,6.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,1.0,0.0,2.0,1.0,7.0,0.0,3.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,86713455.0,6.0,34.0,0.0,36.0,7.0,2.0,27.0,0.0,18.0,3.0,6.0,4.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,14.0,2.0,10.0,0.0,2.0,11.0,17.0,0.0,0.0,1.0,7.0,0.0,11.0,0.0,23.0,5.0,0.0,0.0,15.0,5.0,1.0,4.0,4.0,0.0,12.0,6.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,3.0,0.0,0.0
14,88955642.0,10.0,6.0,0.0,42.0,19.0,3.0,3.0,0.0,11.0,9.0,1.0,2.0,2.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,13.0,0.0,0.0,0.0,3.0,19.0,0.0,1.0,5.0,6.0,2.0,9.0,1.0,1.0,8.0,0.0,0.0,3.0,2.0,5.0,4.0,0.0,0.0,1.0,3.0,8.0,2.0,0.0,0.0,0.0,4.0,1.0,3.0,4.0,0.0,5.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,24.0,3.0,0.0,0.0,14.0,2.0,0.0
15,101824385.0,1.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,136668589.0,0.0,0.0,2.0,11.0,4.0,3.0,19.0,0.0,4.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,0.0,27.0,0.0,25.0,2.0,8.0,0.0,2.0,3.0,11.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,8.0,1.0,0.0,2.0,72.0,20.0,9.0,1.0,0.0,0.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,3.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,4.0,3.0,0.0
17,210824047.0,5.0,7.0,3.0,60.0,39.0,1.0,2.0,0.0,8.0,5.0,1.0,0.0,4.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,6.0,1.0,1.0,0.0,1.0,32.0,0.0,0.0,11.0,12.0,0.0,23.0,0.0,1.0,5.0,0.0,0.0,6.0,4.0,24.0,16.0,1.0,0.0,1.0,2.0,9.0,5.0,1.0,0.0,0.0,18.0,3.0,15.0,18.0,0.0,9.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,88.0,3.0,0.0,0.0,11.0,1.0,0.0
18,229423749.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1517.0,200.0,1772.0,1408.0,121.0,1480.0,533.0,32.0,765.0,74.0,650.0,1308.0,182.0,145.0,668.0,854.0,39.0,684.0,0.0,19.0,125.0,1254.0,593.0,1246.0,891.0,765.0,8.0,14.0,180.0,254.0,507.0,1346.0,1520.0,1394.0,125.0,673.0,62.0,656.0,468.0,141.0,96.0,1355.0,143.0,686.0,652.0,342.0,86.0,1305.0,2.0,548.0,0.0,444.0,1.0,7.0,1337.0,179.0,601.0,15.0,1054.0,131.0,1118.0,31.0,1373.0,1465.0,43.0,162.0,1465.0,768.0,128.0,691.0,1414.0,115.0,1472.0,711.0,1165.0,1286.0,42.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19,234958981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1517.0,0.0,69.0,1600.0,1153.0,123.0,1319.0,7.0,16.0,5.0,89.0,142.0,1174.0,44.0,46.0,1.0,321.0,8.0,2.0,0.0,8.0,38.0,1297.0,672.0,1283.0,180.0,6.0,5.0,3.0,32.0,23.0,554.0,1521.0,1337.0,1498.0,30.0,1.0,71.0,1.0,521.0,25.0,25.0,1357.0,0.0,2.0,1.0,29.0,10.0,1369.0,2.0,5.0,0.0,242.0,0.0,1.0,1477.0,199.0,24.0,5.0,572.0,44.0,724.0,11.0,1514.0,1305.0,48.0,69.0,1424.0,183.0,145.0,11.0,1320.0,111.0,1356.0,3.0,1029.0,1293.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
