,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
10,48114697.0,0.0,9.0,0.0,5.0,1.0,25.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,2.0,4.0,10.0,4.0,5.0,8.0,0.0,0.0,8.0,0.0,3.0,21.0,1.0,0.0,26.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
11,48495906.0,93.0,10.0,140.0,155.0,96.0,449.0,102.0,166.0,154.0,4.0,0.0,153.0,120.0,156.0,0.0,114.0,8.0,11.0,93.0,1.0,10.0,12.0,28.0,261.0,30.0,350.0,32.0,36.0,56.0,21.0,0.0,19.0,169.0,3.0,0.0,134.0,3.0,34.0,28.0,22.0,24.0,61.0,8.0,9.0,7.0,2.0,0.0,44.0,10.0,3.0,7.0,0.0,10.0,1.0,6.0,96.0,105.0,25.0,3.0,2.0,0.0,5.0,21.0,77.0,15.0,13.0,5.0,0.0,8.0,0.0,9.0,0.0,2.0,14.0,0.0,7.0,9.0,0.0,30.0
12,48959778.0,46.0,6.0,41.0,56.0,76.0,162.0,79.0,33.0,109.0,0.0,153.0,0.0,113.0,89.0,0.0,73.0,14.0,11.0,54.0,3.0,14.0,13.0,39.0,178.0,31.0,133.0,28.0,21.0,13.0,5.0,0.0,14.0,59.0,1.0,0.0,43.0,1.0,37.0,5.0,14.0,6.0,50.0,5.0,4.0,4.0,4.0,0.0,47.0,4.0,13.0,3.0,0.0,7.0,1.0,2.0,70.0,46.0,32.0,1.0,2.0,0.0,1.0,31.0,58.0,16.0,1.0,0.0,0.0,7.0,0.0,13.0,0.0,2.0,4.0,0.0,1.0,3.0,0.0,43.0
13,50552213.0,83.0,9.0,55.0,52.0,158.0,140.0,532.0,33.0,369.0,1.0,120.0,113.0,0.0,202.0,0.0,189.0,12.0,28.0,55.0,2.0,12.0,10.0,64.0,353.0,39.0,156.0,34.0,14.0,10.0,8.0,0.0,21.0,48.0,1.0,0.0,23.0,0.0,49.0,13.0,6.0,8.0,46.0,4.0,4.0,4.0,4.0,0.0,24.0,4.0,93.0,5.0,0.0,4.0,1.0,3.0,110.0,25.0,144.0,0.0,2.0,5.0,4.0,35.0,61.0,20.0,10.0,0.0,1.0,2.0,0.0,5.0,4.0,3.0,10.0,1.0,0.0,4.0,0.0,77.0
14,51827732.0,133.0,11.0,57.0,75.0,349.0,337.0,178.0,180.0,448.0,0.0,156.0,89.0,202.0,0.0,0.0,435.0,18.0,216.0,83.0,1.0,86.0,6.0,160.0,1606.0,32.0,167.0,24.0,8.0,13.0,5.0,0.0,60.0,35.0,0.0,0.0,16.0,1.0,37.0,1.0,137.0,6.0,30.0,5.0,7.0,4.0,3.0,0.0,254.0,2.0,49.0,0.0,0.0,3.0,1.0,1.0,134.0,13.0,134.0,0.0,3.0,0.0,9.0,39.0,167.0,80.0,2.0,0.0,0.0,0.0,0.0,19.0,3.0,2.0,8.0,0.0,0.0,6.0,0.0,57.0
15,52346375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,68524735.0,121.0,7.0,34.0,74.0,314.0,190.0,164.0,95.0,324.0,0.0,114.0,73.0,189.0,435.0,0.0,0.0,11.0,246.0,89.0,2.0,22.0,2.0,572.0,665.0,47.0,195.0,17.0,9.0,12.0,2.0,0.0,56.0,40.0,0.0,0.0,24.0,0.0,45.0,0.0,22.0,4.0,36.0,2.0,2.0,4.0,4.0,0.0,76.0,1.0,37.0,0.0,0.0,0.0,1.0,1.0,136.0,14.0,116.0,0.0,3.0,0.0,2.0,36.0,80.0,37.0,3.0,0.0,0.0,1.0,0.0,10.0,3.0,4.0,6.0,0.0,0.0,6.0,0.0,44.0
17,75055396.0,10.0,2.0,2.0,6.0,16.0,11.0,9.0,7.0,19.0,0.0,8.0,14.0,12.0,18.0,0.0,11.0,0.0,7.0,8.0,2.0,1.0,0.0,10.0,23.0,5.0,11.0,5.0,0.0,2.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,10.0,0.0,0.0,0.0,0.0,7.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0
18,77254498.0,10.0,1.0,55.0,10.0,71.0,24.0,26.0,22.0,70.0,0.0,11.0,11.0,28.0,216.0,0.0,246.0,7.0,0.0,17.0,0.0,50.0,0.0,124.0,466.0,0.0,36.0,2.0,1.0,0.0,0.0,0.0,26.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,1.0,0.0,0.0,4.0,47.0,8.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,5.0
19,140198531.0,60.0,2.0,32.0,36.0,51.0,120.0,32.0,49.0,58.0,0.0,93.0,54.0,55.0,83.0,0.0,89.0,8.0,17.0,0.0,2.0,17.0,4.0,35.0,152.0,26.0,102.0,15.0,9.0,7.0,0.0,0.0,12.0,31.0,4.0,0.0,26.0,1.0,23.0,1.0,20.0,5.0,24.0,8.0,5.0,5.0,2.0,0.0,48.0,11.0,5.0,4.0,0.0,2.0,1.0,4.0,42.0,18.0,18.0,1.0,2.0,0.0,2.0,12.0,59.0,11.0,24.0,2.0,1.0,2.0,0.0,5.0,0.0,1.0,5.0,0.0,6.0,6.0,0.0,21.0
