,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
10,20263645.0,17.0,1.0,24.0,2.0,4.0,2.0,6.0,9.0,1.0,0.0,8.0,6.0,1.0,0.0,10.0,3.0,12.0,0.0,13.0,0.0,3.0,55.0,11.0,0.0,0.0,0.0,6.0,1.0,1.0,16.0,10.0,22.0,10.0,0.0,1.0,2.0,0.0,5.0,49.0,1.0,0.0,0.0,14.0,5.0,6.0,3.0,11.0,7.0,9.0,0.0,0.0,9.0,11.0,0.0,18.0,9.0,14.0,3.0,1.0,0.0,3.0,1.0,13.0,1.0,3.0,1.0,1.0,7.0,30.0,1.0,18.0,9.0,8.0,0.0,3.0,0.0,12.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,23.0,1.0,15.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,21.0,2.0,26.0,0.0,10.0,35.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0
11,22391773.0,3.0,1.0,21.0,13.0,25.0,18.0,35.0,18.0,9.0,8.0,0.0,23.0,31.0,1.0,30.0,192.0,16.0,3.0,57.0,3.0,10.0,116.0,19.0,0.0,2.0,0.0,42.0,3.0,22.0,138.0,48.0,8.0,41.0,2.0,16.0,27.0,3.0,19.0,176.0,20.0,7.0,1.0,5.0,6.0,3.0,16.0,66.0,36.0,26.0,0.0,0.0,20.0,1.0,0.0,404.0,19.0,49.0,13.0,1.0,5.0,22.0,21.0,54.0,41.0,9.0,2.0,23.0,16.0,61.0,37.0,49.0,6.0,46.0,0.0,24.0,0.0,1.0,3.0,0.0,6.0,0.0,0.0,4.0,3.0,35.0,18.0,2.0,18.0,12.0,0.0,12.0,2.0,0.0,6.0,2.0,0.0,8.0,13.0,1.0,24.0,3.0,10.0,0.0,6.0,9.0,7.0,0.0,1.0,0.0,30.0,0.0,13.0,2.0,26.0,1.0,41.0,26.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,15.0,0.0
12,23023443.0,6.0,3.0,35.0,48.0,40.0,18.0,105.0,11.0,22.0,6.0,23.0,0.0,90.0,0.0,37.0,100.0,8.0,3.0,66.0,41.0,2.0,17.0,35.0,0.0,19.0,15.0,23.0,41.0,38.0,104.0,34.0,41.0,33.0,0.0,10.0,22.0,2.0,11.0,168.0,63.0,3.0,0.0,7.0,8.0,3.0,24.0,62.0,42.0,17.0,0.0,0.0,15.0,2.0,0.0,222.0,22.0,54.0,11.0,3.0,5.0,18.0,16.0,27.0,35.0,10.0,2.0,14.0,12.0,29.0,33.0,48.0,4.0,65.0,0.0,5.0,0.0,2.0,7.0,1.0,0.0,0.0,1.0,6.0,1.0,14.0,16.0,4.0,12.0,8.0,0.0,8.0,1.0,1.0,4.0,0.0,0.0,4.0,8.0,2.0,36.0,7.0,18.0,0.0,2.0,3.0,4.0,0.0,1.0,0.0,24.0,0.0,18.0,9.0,19.0,0.0,33.0,35.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,39.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,19.0,0.0
13,23934422.0,10.0,7.0,54.0,142.0,35.0,25.0,250.0,21.0,37.0,1.0,31.0,90.0,0.0,1.0,23.0,136.0,25.0,2.0,139.0,90.0,7.0,49.0,20.0,0.0,61.0,21.0,60.0,132.0,74.0,247.0,106.0,139.0,40.0,0.0,15.0,32.0,4.0,27.0,124.0,176.0,1.0,0.0,13.0,9.0,4.0,83.0,117.0,95.0,32.0,0.0,1.0,32.0,2.0,0.0,321.0,44.0,161.0,28.0,2.0,14.0,25.0,45.0,48.0,101.0,11.0,2.0,43.0,48.0,67.0,107.0,93.0,6.0,131.0,0.0,11.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,5.0,1.0,40.0,49.0,4.0,25.0,13.0,0.0,16.0,2.0,0.0,14.0,0.0,0.0,16.0,11.0,1.0,47.0,15.0,12.0,0.0,6.0,9.0,16.0,0.0,1.0,0.0,96.0,1.0,41.0,15.0,38.0,0.0,52.0,25.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,51.0,4.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,7.0,5.0,0.0,27.0,0.0
14,25406279.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,8.0,6.0,56.0,0.0,0.0,0.0,7.0,1.0,0.0,10.0,5.0,2.0,1.0,3.0,49.0,9.0,66.0,16.0,6.0,2.0,18.0,0.0,1.0,1.0,0.0,7.0,24.0,3.0,2.0,16.0,17.0,3.0,1.0,0.0,7.0,3.0,8.0,0.0,24.0,1.0,3.0,9.0,53.0,9.0,0.0,34.0,52.0,7.0,1.0,3.0,4.0,1.0,11.0,2.0,0.0,2.0,0.0,1.0,0.0,45.0,0.0,5.0,0.0,18.0,9.0,6.0,61.0,47.0,63.0,0.0,4.0,11.0,17.0,9.0,25.0,16.0,2.0,13.0,6.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,3.0,1.0,3.0,19.0,3.0,7.0,15.0,0.0,24.0,48.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,6.0,36.0,68.0,0.0,3.0,1.0,1.0,2.0,8.0,0.0
15,27414505.0,7.0,2.0,37.0,18.0,47.0,17.0,42.0,23.0,15.0,10.0,30.0,37.0,23.0,1.0,0.0,90.0,10.0,3.0,39.0,3.0,4.0,33.0,17.0,0.0,2.0,1.0,24.0,2.0,8.0,81.0,30.0,8.0,25.0,0.0,12.0,16.0,2.0,11.0,156.0,19.0,1.0,1.0,13.0,20.0,8.0,9.0,37.0,39.0,34.0,0.0,1.0,19.0,7.0,0.0,168.0,12.0,46.0,23.0,2.0,8.0,12.0,5.0,18.0,18.0,8.0,4.0,9.0,9.0,57.0,25.0,29.0,4.0,35.0,1.0,37.0,0.0,5.0,10.0,0.0,2.0,0.0,0.0,5.0,1.0,19.0,14.0,7.0,9.0,5.0,0.0,6.0,2.0,1.0,4.0,1.0,0.0,4.0,2.0,2.0,49.0,11.0,13.0,0.0,5.0,18.0,1.0,0.0,0.0,0.0,70.0,0.0,27.0,9.0,41.0,1.0,29.0,1.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,8.0,0.0
16,28135772.0,8.0,10.0,123.0,101.0,47.0,41.0,263.0,83.0,68.0,3.0,192.0,100.0,136.0,1.0,90.0,0.0,42.0,21.0,175.0,12.0,7.0,118.0,111.0,1.0,25.0,1.0,68.0,24.0,46.0,266.0,137.0,37.0,108.0,0.0,14.0,163.0,4.0,26.0,1115.0,85.0,2.0,0.0,40.0,22.0,30.0,27.0,215.0,201.0,50.0,0.0,5.0,39.0,3.0,1.0,1523.0,39.0,128.0,103.0,3.0,23.0,51.0,32.0,69.0,128.0,18.0,9.0,32.0,18.0,495.0,258.0,145.0,18.0,174.0,2.0,114.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,14.0,2.0,30.0,33.0,23.0,51.0,10.0,0.0,9.0,3.0,1.0,17.0,1.0,1.0,15.0,7.0,3.0,140.0,30.0,41.0,0.0,3.0,24.0,21.0,0.0,1.0,0.0,418.0,1.0,73.0,17.0,55.0,1.0,112.0,31.0,1.0,0.0,1.0,0.0,274.0,0.0,0.0,0.0,99.0,2.0,0.0,0.0,9.0,0.0,12.0,0.0,0.0,16.0,2.0,0.0,41.0,0.0
17,29662823.0,32.0,0.0,44.0,23.0,9.0,1.0,22.0,15.0,3.0,12.0,16.0,8.0,25.0,0.0,10.0,42.0,0.0,0.0,11.0,1.0,1.0,265.0,1.0,0.0,9.0,0.0,4.0,3.0,0.0,38.0,32.0,30.0,19.0,0.0,2.0,16.0,0.0,0.0,86.0,14.0,3.0,0.0,26.0,0.0,10.0,5.0,7.0,9.0,52.0,0.0,0.0,30.0,24.0,0.0,149.0,4.0,28.0,6.0,0.0,0.0,3.0,1.0,6.0,12.0,0.0,0.0,6.0,8.0,84.0,29.0,12.0,1.0,22.0,0.0,8.0,0.0,2.0,73.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,14.0,1.0,11.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,42.0,0.0,49.0,1.0,60.0,0.0,5.0,31.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0
18,42910193.0,1.0,1.0,4.0,1.0,1.0,9.0,18.0,9.0,8.0,0.0,3.0,3.0,2.0,1.0,3.0,21.0,0.0,0.0,21.0,0.0,1.0,0.0,32.0,0.0,2.0,0.0,7.0,1.0,5.0,45.0,10.0,0.0,7.0,0.0,6.0,2.0,1.0,4.0,11.0,7.0,0.0,0.0,1.0,7.0,0.0,1.0,17.0,21.0,5.0,0.0,0.0,2.0,0.0,0.0,22.0,7.0,9.0,12.0,0.0,2.0,13.0,1.0,6.0,4.0,10.0,8.0,5.0,1.0,3.0,7.0,29.0,2.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,5.0,2.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,10.0,10.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,25.0,3.0,4.0,0.0,20.0,12.0,1.0,0.0,2.0,0.0,26.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
19,47107118.0,9.0,30.0,75.0,84.0,56.0,55.0,204.0,84.0,44.0,13.0,57.0,66.0,139.0,3.0,39.0,175.0,11.0,21.0,0.0,59.0,44.0,25.0,98.0,0.0,49.0,17.0,97.0,59.0,102.0,289.0,150.0,48.0,103.0,0.0,31.0,69.0,5.0,81.0,129.0,93.0,6.0,2.0,22.0,34.0,42.0,51.0,256.0,240.0,65.0,0.0,1.0,30.0,6.0,1.0,302.0,69.0,322.0,119.0,6.0,13.0,58.0,65.0,428.0,180.0,107.0,8.0,49.0,55.0,41.0,95.0,439.0,45.0,170.0,3.0,126.0,0.0,4.0,17.0,0.0,11.0,0.0,1.0,10.0,6.0,27.0,51.0,11.0,68.0,39.0,0.0,59.0,5.0,0.0,16.0,9.0,1.0,54.0,38.0,3.0,92.0,49.0,34.0,0.0,13.0,7.0,50.0,0.0,1.0,0.0,43.0,3.0,82.0,25.0,61.0,1.0,193.0,64.0,0.0,0.0,3.0,4.0,187.0,0.0,0.0,0.0,108.0,9.0,0.0,0.0,17.0,1.0,26.0,0.0,0.0,5.0,6.0,1.0,35.0,0.0
