,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
10,91419075.0,41.0,487.0,10.0,132.0,258.0,224.0,35.0,10.0,316.0,0.0,0.0,1.0,512.0,65.0,131.0,3.0,5.0,227.0,106.0,141.0,4.0,142.0,4.0,163.0,13.0,0.0,11.0,78.0,158.0,12.0,82.0,13.0,77.0,111.0,14.0,51.0
11,99779252.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
12,147700927.0,1.0,6.0,0.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,4.0,1.0,0.0,0.0,1.0,4.0,5.0,0.0,6.0,2.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,2.0
13,203533542.0,149.0,439.0,86.0,187.0,350.0,418.0,105.0,11.0,372.0,512.0,0.0,8.0,0.0,92.0,174.0,1.0,12.0,346.0,239.0,365.0,6.0,274.0,21.0,730.0,19.0,0.0,32.0,178.0,106.0,9.0,141.0,14.0,83.0,442.0,3.0,105.0
14,204811301.0,35.0,87.0,1.0,32.0,96.0,81.0,15.0,7.0,54.0,65.0,0.0,4.0,92.0,0.0,72.0,2.0,5.0,127.0,78.0,73.0,3.0,36.0,5.0,59.0,11.0,0.0,4.0,11.0,42.0,6.0,17.0,3.0,28.0,57.0,2.0,19.0
15,205649678.0,70.0,128.0,10.0,52.0,96.0,126.0,36.0,8.0,322.0,131.0,0.0,1.0,174.0,72.0,0.0,2.0,4.0,130.0,61.0,60.0,2.0,46.0,2.0,100.0,5.0,0.0,3.0,15.0,51.0,4.0,27.0,2.0,30.0,144.0,2.0,25.0
16,228183223.0,2.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0
17,228305424.0,3.0,12.0,0.0,6.0,12.0,8.0,1.0,1.0,2.0,5.0,7.0,0.0,12.0,5.0,4.0,0.0,0.0,10.0,4.0,5.0,0.0,8.0,0.0,2.0,4.0,0.0,2.0,4.0,6.0,0.0,33.0,1.0,6.0,5.0,0.0,0.0
18,236197495.0,121.0,261.0,37.0,152.0,233.0,285.0,59.0,39.0,148.0,227.0,1.0,1.0,346.0,127.0,130.0,5.0,10.0,0.0,132.0,137.0,4.0,97.0,19.0,261.0,28.0,0.0,30.0,50.0,78.0,12.0,76.0,13.0,66.0,229.0,5.0,53.0
19,239154848.0,52.0,103.0,3.0,51.0,208.0,119.0,28.0,4.0,50.0,106.0,0.0,4.0,239.0,78.0,61.0,1.0,4.0,132.0,0.0,201.0,6.0,168.0,27.0,223.0,25.0,0.0,12.0,122.0,28.0,10.0,32.0,15.0,55.0,58.0,1.0,43.0
20,242476422.0,56.0,99.0,18.0,50.0,207.0,126.0,49.0,4.0,115.0,141.0,0.0,5.0,365.0,73.0,60.0,1.0,5.0,137.0,201.0,0.0,0.0,154.0,23.0,284.0,14.0,0.0,13.0,118.0,27.0,13.0,44.0,22.0,34.0,141.0,0.0,34.0
21,254766784.0,1.0,11.0,0.0,3.0,11.0,3.0,2.0,0.0,1.0,4.0,0.0,0.0,6.0,3.0,2.0,0.0,0.0,4.0,6.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0
22,268445390.0,33.0,124.0,7.0,48.0,182.0,65.0,14.0,3.0,122.0,142.0,0.0,6.0,274.0,36.0,46.0,0.0,8.0,97.0,168.0,154.0,1.0,0.0,11.0,98.0,18.0,0.0,16.0,139.0,39.0,11.0,21.0,21.0,54.0,68.0,1.0,10.0
23,279263583.0,1.0,17.0,0.0,6.0,4.0,26.0,5.0,54.0,16.0,4.0,0.0,2.0,21.0,5.0,2.0,0.0,0.0,19.0,27.0,23.0,0.0,11.0,0.0,53.0,0.0,0.0,184.0,5.0,4.0,1.0,12.0,0.0,0.0,14.0,2.0,8.0
24,282765775.0,218.0,146.0,95.0,76.0,86.0,176.0,113.0,26.0,193.0,163.0,0.0,17.0,730.0,59.0,100.0,3.0,2.0,261.0,223.0,284.0,1.0,98.0,53.0,0.0,7.0,0.0,23.0,111.0,28.0,3.0,66.0,12.0,20.0,536.0,3.0,195.0
25,289975846.0,8.0,22.0,0.0,8.0,37.0,13.0,3.0,0.0,2.0,13.0,0.0,0.0,19.0,11.0,5.0,1.0,4.0,28.0,25.0,14.0,5.0,18.0,0.0,7.0,0.0,0.0,2.0,8.0,7.0,2.0,4.0,2.0,27.0,4.0,0.0,1.0
26,294523668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,294613911.0,1.0,19.0,0.0,34.0,10.0,34.0,1.0,77.0,34.0,11.0,0.0,0.0,32.0,4.0,3.0,0.0,2.0,30.0,12.0,13.0,0.0,16.0,184.0,23.0,2.0,0.0,0.0,1.0,12.0,3.0,11.0,0.0,3.0,11.0,0.0,3.0
28,297027788.0,30.0,71.0,7.0,15.0,66.0,21.0,16.0,2.0,47.0,78.0,0.0,3.0,178.0,11.0,15.0,3.0,4.0,50.0,122.0,118.0,1.0,139.0,5.0,111.0,8.0,0.0,1.0,0.0,22.0,9.0,11.0,16.0,46.0,46.0,1.0,15.0
29,299566836.0,25.0,266.0,1.0,60.0,78.0,77.0,10.0,2.0,44.0,158.0,0.0,0.0,106.0,42.0,51.0,2.0,6.0,78.0,28.0,27.0,4.0,39.0,4.0,28.0,7.0,0.0,12.0,22.0,0.0,9.0,19.0,2.0,66.0,43.0,12.0,27.0
30,299888411.0,1.0,11.0,0.0,6.0,19.0,5.0,1.0,0.0,8.0,12.0,0.0,0.0,9.0,6.0,4.0,1.0,0.0,12.0,10.0,13.0,0.0,11.0,1.0,3.0,2.0,0.0,3.0,9.0,9.0,0.0,1.0,1.0,28.0,2.0,1.0,3.0
31,305570199.0,19.0,96.0,0.0,109.0,130.0,171.0,19.0,24.0,29.0,82.0,2.0,0.0,141.0,17.0,27.0,0.0,33.0,76.0,32.0,44.0,2.0,21.0,12.0,66.0,4.0,0.0,11.0,11.0,19.0,1.0,0.0,3.0,24.0,21.0,2.0,8.0
32,320685425.0,2.0,11.0,0.0,5.0,24.0,4.0,3.0,0.0,6.0,13.0,0.0,2.0,14.0,3.0,2.0,0.0,1.0,13.0,15.0,22.0,0.0,21.0,0.0,12.0,2.0,0.0,0.0,16.0,2.0,1.0,3.0,0.0,10.0,3.0,0.0,4.0
