,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
10,51858867.0,1.0,32.0,1.0,0.0,1.0,1.0,1.0,0.0,22.0,0.0,3.0,3.0,10.0,19.0,3.0,11.0,73.0,10.0,7.0,17.0,9.0,3.0,31.0,12.0,24.0,1.0,22.0,0.0,0.0,15.0,7.0,0.0,7.0,0.0,0.0,1.0,20.0,5.0,9.0,2.0,3.0,6.0,42.0,3.0,4.0,1.0,0.0
11,97534492.0,70.0,227.0,106.0,65.0,129.0,3.0,87.0,91.0,74.0,3.0,0.0,9.0,146.0,50.0,46.0,57.0,30.0,25.0,103.0,159.0,120.0,44.0,115.0,189.0,194.0,164.0,166.0,22.0,6.0,102.0,33.0,2.0,319.0,0.0,42.0,10.0,30.0,84.0,51.0,271.0,45.0,196.0,6.0,0.0,204.0,20.0,5.0
12,108590056.0,9.0,15.0,6.0,3.0,4.0,0.0,2.0,7.0,5.0,3.0,9.0,0.0,13.0,7.0,5.0,6.0,5.0,1.0,15.0,15.0,9.0,26.0,15.0,10.0,18.0,10.0,20.0,2.0,0.0,10.0,6.0,4.0,10.0,0.0,5.0,25.0,4.0,4.0,4.0,10.0,20.0,8.0,2.0,0.0,8.0,1.0,3.0
13,108913225.0,43.0,213.0,92.0,42.0,153.0,4.0,58.0,73.0,72.0,10.0,146.0,13.0,0.0,32.0,47.0,31.0,23.0,15.0,86.0,204.0,67.0,50.0,136.0,219.0,144.0,98.0,129.0,7.0,1.0,68.0,27.0,3.0,197.0,0.0,23.0,18.0,12.0,75.0,26.0,200.0,77.0,122.0,8.0,1.0,119.0,13.0,6.0
14,115000873.0,19.0,92.0,17.0,34.0,10.0,2.0,6.0,28.0,73.0,19.0,50.0,7.0,32.0,0.0,12.0,89.0,180.0,74.0,177.0,51.0,128.0,20.0,72.0,30.0,308.0,65.0,189.0,8.0,6.0,91.0,60.0,0.0,182.0,0.0,31.0,3.0,242.0,31.0,147.0,48.0,12.0,76.0,24.0,3.0,90.0,22.0,1.0
15,120718857.0,20.0,75.0,12.0,28.0,54.0,3.0,32.0,44.0,46.0,3.0,46.0,5.0,47.0,12.0,0.0,8.0,7.0,3.0,53.0,27.0,24.0,11.0,53.0,43.0,75.0,20.0,56.0,2.0,2.0,28.0,12.0,1.0,57.0,0.0,9.0,1.0,4.0,44.0,3.0,55.0,35.0,60.0,6.0,0.0,24.0,3.0,5.0
16,161268794.0,17.0,76.0,13.0,16.0,22.0,0.0,12.0,25.0,36.0,11.0,57.0,6.0,31.0,89.0,8.0,0.0,82.0,37.0,73.0,55.0,76.0,14.0,42.0,44.0,133.0,51.0,108.0,4.0,3.0,68.0,42.0,1.0,101.0,0.0,34.0,2.0,71.0,22.0,63.0,50.0,6.0,79.0,11.0,1.0,65.0,13.0,1.0
17,210585182.0,7.0,138.0,7.0,6.0,6.0,2.0,3.0,19.0,73.0,73.0,30.0,5.0,23.0,180.0,7.0,82.0,0.0,63.0,93.0,76.0,89.0,5.0,85.0,33.0,177.0,39.0,149.0,6.0,5.0,91.0,38.0,0.0,99.0,0.0,16.0,0.0,182.0,22.0,111.0,23.0,3.0,66.0,82.0,4.0,66.0,6.0,0.0
18,210824047.0,8.0,53.0,7.0,13.0,7.0,1.0,4.0,21.0,21.0,10.0,25.0,1.0,15.0,74.0,3.0,37.0,63.0,0.0,49.0,27.0,44.0,4.0,25.0,18.0,81.0,27.0,57.0,3.0,2.0,44.0,17.0,0.0,65.0,0.0,18.0,1.0,62.0,19.0,57.0,25.0,2.0,43.0,10.0,1.0,39.0,8.0,1.0
19,239065881.0,51.0,202.0,35.0,35.0,59.0,3.0,30.0,72.0,134.0,7.0,103.0,15.0,86.0,177.0,53.0,73.0,93.0,49.0,0.0,95.0,131.0,33.0,121.0,97.0,319.0,69.0,224.0,7.0,9.0,123.0,43.0,3.0,189.0,0.0,41.0,7.0,129.0,93.0,113.0,84.0,58.0,133.0,23.0,1.0,98.0,15.0,1.0
