,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
10,124999935.0,0.0,8.0,1.0,8.0,126.0,120.0,16.0,35.0,33.0,0.0,42.0,27.0,4.0,4.0,0.0,3.0,13.0,3.0,102.0,1.0,3.0,21.0,7.0,16.0,27.0,1.0,9.0,0.0,5.0,34.0,8.0,0.0,3.0,50.0,3.0,11.0,22.0,27.0,26.0,1.0,1.0,11.0,5.0,10.0,6.0,59.0,7.0,3.0,19.0,12.0,0.0,52.0,1.0,27.0,1.0,2.0,6.0,0.0
11,141530427.0,0.0,0.0,0.0,0.0,27.0,30.0,2.0,3.0,9.0,42.0,0.0,3.0,8.0,0.0,0.0,0.0,3.0,0.0,4.0,2.0,2.0,9.0,2.0,3.0,8.0,0.0,0.0,0.0,2.0,33.0,4.0,0.0,1.0,79.0,1.0,0.0,3.0,5.0,11.0,0.0,0.0,0.0,4.0,1.0,1.0,5.0,4.0,0.0,3.0,1.0,0.0,81.0,0.0,11.0,1.0,0.0,2.0,0.0
12,141850650.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,1.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,210824047.0,0.0,0.0,0.0,1.0,41.0,75.0,3.0,0.0,37.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,17.0,8.0,0.0,7.0,0.0,40.0,5.0,0.0,1.0,0.0,0.0,23.0,2.0,0.0,0.0,17.0,1.0,5.0,0.0,5.0,1.0,1.0,0.0,3.0,11.0,18.0,0.0,2.0,2.0,0.0,7.0,14.0,0.0,14.0,0.0,5.0,3.0,3.0,4.0,0.0
14,223236244.0,0.0,38.0,0.0,1.0,3.0,6.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,41.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,33.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,232181027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,246223044.0,0.0,0.0,0.0,19.0,1.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,41.0,0.0,45.0,3.0,2.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,37.0,2.0,6.0,0.0,0.0,17.0,26.0,1.0,0.0,9.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0
17,250846617.0,0.0,0.0,0.0,1.0,7.0,19.0,0.0,1.0,10.0,13.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,6.0,13.0,0.0,3.0,9.0,1.0,7.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,20.0,9.0,81.0,1.0,0.0,5.0,0.0,5.0,2.0,20.0,32.0,0.0
18,251794786.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,1.0,8.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,6.0,7.0,63.0,0.0,0.0,4.0,0.0,7.0,1.0,6.0,22.0,0.0
19,253753754.0,0.0,10.0,4.0,52.0,132.0,143.0,30.0,32.0,39.0,102.0,4.0,1.0,17.0,2.0,0.0,41.0,13.0,7.0,0.0,5.0,127.0,10.0,7.0,14.0,14.0,0.0,18.0,0.0,1.0,24.0,3.0,1.0,6.0,67.0,7.0,170.0,1.0,19.0,13.0,1.0,53.0,72.0,4.0,26.0,23.0,57.0,3.0,0.0,51.0,33.0,0.0,82.0,0.0,14.0,0.0,2.0,14.0,2.0
