,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
11,201372142.0,3.0,0.0,81.0,0.0,5.0,0.0,56.0,2.0,2.0,1.0,0.0,3.0,2.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,50.0,50.0,101.0,4.0,65.0,77.0,3.0,158.0,2.0,0.0,122.0,84.0,1.0,0.0,73.0,6.0,100.0,0.0,3.0,0.0,2.0,80.0,0.0,140.0,0.0,27.0,162.0,2.0,1.0,13.0,3.0,48.0,4.0,35.0,0.0,0.0
12,209651406.0,6.0,10.0,20.0,1.0,33.0,13.0,21.0,39.0,13.0,20.0,3.0,0.0,15.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,64.0,0.0,12.0,31.0,5.0,5.0,25.0,16.0,10.0,0.0,8.0,0.0,49.0,27.0,4.0,1.0,11.0,1.0,50.0,3.0,6.0,4.0,0.0,20.0,5.0,0.0,13.0,42.0,19.0,64.0,13.0,1.0,28.0,3.0,17.0,6.0
13,210021971.0,8.0,9.0,17.0,3.0,19.0,1.0,13.0,11.0,11.0,7.0,2.0,15.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,41.0,0.0,6.0,36.0,3.0,3.0,8.0,10.0,3.0,0.0,4.0,0.0,19.0,13.0,2.0,0.0,6.0,0.0,38.0,2.0,1.0,1.0,0.0,14.0,0.0,0.0,10.0,16.0,9.0,30.0,7.0,1.0,20.0,0.0,13.0,4.0
14,222816980.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
15,229761604.0,3.0,1.0,151.0,0.0,11.0,1.0,112.0,0.0,5.0,0.0,122.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,70.0,61.0,170.0,2.0,83.0,151.0,0.0,258.0,0.0,1.0,214.0,158.0,2.0,1.0,99.0,5.0,146.0,0.0,3.0,0.0,2.0,144.0,0.0,222.0,0.0,31.0,281.0,2.0,0.0,23.0,7.0,55.0,2.0,36.0,0.0,0.0
16,232181027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,235327570.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,323.0,7.0,14.0,443.0,744.0,102.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,235356588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,885.0,1.0,20.0,380.0,405.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,235585808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,885.0,0.0,159.0,159.0,491.0,370.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,235621009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,159.0,0.0,174.0,360.0,2.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
