,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10,40569347.0,358.0,0.0,226.0,244.0,45.0,28.0,139.0,259.0,297.0,0.0,49.0,24.0,108.0,165.0,141.0,2.0,59.0,220.0,89.0,6.0,197.0,5.0,0.0,41.0,12.0,22.0,0.0,7.0,142.0,110.0,108.0,6.0,319.0,13.0,46.0,46.0,6.0,90.0,16.0,15.0,232.0,7.0,133.0,117.0,163.0,0.0,18.0,10.0,6.0,25.0,5.0,16.0,13.0,33.0,38.0,0.0,22.0,28.0,22.0,5.0,10.0,0.0,50.0,118.0,33.0,91.0,6.0,1.0,114.0,10.0,45.0,4.0,16.0,13.0,16.0,51.0,12.0,69.0,4.0,0.0,1.0,14.0,0.0,4.0,48.0,2.0,0.0,165.0,44.0,49.0,1.0,70.0,0.0,0.0,7.0,12.0,134.0,3.0,4.0,0.0
11,46634901.0,70.0,0.0,49.0,34.0,37.0,2.0,16.0,32.0,45.0,49.0,0.0,10.0,10.0,5.0,22.0,0.0,8.0,63.0,3.0,2.0,39.0,2.0,0.0,8.0,4.0,9.0,0.0,2.0,23.0,4.0,50.0,4.0,59.0,31.0,37.0,5.0,1.0,10.0,3.0,5.0,33.0,6.0,30.0,17.0,25.0,0.0,7.0,7.0,4.0,1.0,5.0,4.0,1.0,16.0,8.0,2.0,3.0,4.0,12.0,2.0,2.0,0.0,10.0,9.0,5.0,22.0,1.0,0.0,22.0,4.0,20.0,1.0,2.0,4.0,3.0,14.0,6.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,19.0,17.0,27.0,3.0,6.0,5.0,1.0,4.0,2.0,5.0,1.0,4.0,0.0
12,46640967.0,46.0,0.0,70.0,22.0,49.0,0.0,15.0,18.0,25.0,24.0,10.0,0.0,4.0,2.0,5.0,13.0,6.0,40.0,8.0,18.0,17.0,17.0,0.0,7.0,46.0,123.0,6.0,25.0,8.0,5.0,65.0,1.0,17.0,12.0,83.0,4.0,3.0,8.0,19.0,40.0,22.0,6.0,40.0,38.0,17.0,0.0,28.0,112.0,4.0,4.0,5.0,47.0,11.0,21.0,25.0,3.0,109.0,23.0,80.0,13.0,58.0,0.0,41.0,16.0,2.0,74.0,8.0,6.0,29.0,15.0,128.0,1.0,4.0,3.0,14.0,31.0,14.0,9.0,14.0,0.0,0.0,1.0,0.0,0.0,13.0,6.0,3.0,6.0,47.0,170.0,0.0,147.0,5.0,2.0,71.0,19.0,1.0,7.0,3.0,0.0
13,56567360.0,98.0,0.0,24.0,83.0,3.0,5.0,47.0,129.0,68.0,108.0,10.0,4.0,0.0,8.0,90.0,0.0,6.0,36.0,27.0,2.0,74.0,1.0,0.0,11.0,1.0,0.0,0.0,5.0,47.0,38.0,24.0,3.0,283.0,4.0,11.0,8.0,0.0,41.0,4.0,2.0,38.0,1.0,26.0,17.0,66.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,6.0,6.0,0.0,1.0,5.0,4.0,0.0,2.0,0.0,11.0,22.0,17.0,18.0,2.0,0.0,17.0,1.0,4.0,3.0,2.0,0.0,3.0,9.0,3.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,60.0,10.0,8.0,0.0,10.0,0.0,0.0,2.0,0.0,283.0,0.0,1.0,0.0
14,68638036.0,29.0,0.0,18.0,11.0,2.0,2.0,14.0,18.0,8.0,165.0,5.0,2.0,8.0,0.0,11.0,0.0,3.0,15.0,5.0,1.0,20.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,12.0,9.0,13.0,0.0,38.0,2.0,6.0,3.0,3.0,2.0,1.0,1.0,21.0,2.0,7.0,26.0,9.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,7.0,6.0,3.0,2.0,0.0,0.0,9.0,0.0,5.0,0.0,6.0,0.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,13.0,7.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0
15,73938917.0,177.0,0.0,123.0,182.0,29.0,18.0,93.0,186.0,101.0,141.0,22.0,5.0,90.0,11.0,0.0,1.0,18.0,84.0,12.0,4.0,215.0,4.0,0.0,51.0,2.0,0.0,0.0,3.0,98.0,15.0,36.0,4.0,1217.0,5.0,12.0,13.0,1.0,36.0,8.0,6.0,131.0,5.0,43.0,41.0,58.0,0.0,3.0,4.0,4.0,8.0,1.0,5.0,7.0,22.0,16.0,1.0,5.0,10.0,9.0,15.0,3.0,0.0,24.0,23.0,57.0,20.0,3.0,0.0,50.0,2.0,13.0,1.0,4.0,1.0,5.0,18.0,8.0,55.0,0.0,0.0,0.0,13.0,0.0,0.0,20.0,0.0,0.0,123.0,28.0,12.0,1.0,11.0,0.0,0.0,4.0,0.0,77.0,0.0,2.0,0.0
16,88877316.0,8.0,0.0,9.0,2.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,3.0,0.0,1.0,11.0,9.0,0.0,2.0,0.0,0.0,21.0,0.0,3.0,1.0,10.0,1.0,0.0,1.0,2.0,5.0,3.0,0.0,7.0,2.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,14.0,2.0,1.0,5.0,1.0,14.0,1.0,5.0,2.0,5.0,0.0,4.0,0.0,0.0,4.0,5.0,0.0,2.0,5.0,15.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,10.0,15.0,1.0,65.0,1.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0
17,90462707.0,101.0,0.0,23.0,72.0,17.0,1.0,35.0,71.0,64.0,59.0,8.0,6.0,6.0,3.0,18.0,0.0,0.0,30.0,33.0,0.0,22.0,0.0,0.0,9.0,0.0,8.0,0.0,3.0,10.0,32.0,40.0,1.0,37.0,4.0,5.0,13.0,0.0,16.0,5.0,3.0,41.0,1.0,49.0,62.0,22.0,0.0,1.0,2.0,2.0,16.0,0.0,0.0,6.0,3.0,12.0,1.0,1.0,3.0,3.0,0.0,3.0,0.0,6.0,58.0,22.0,33.0,3.0,0.0,23.0,1.0,10.0,4.0,7.0,2.0,6.0,5.0,2.0,12.0,0.0,0.0,0.0,2.0,0.0,3.0,12.0,1.0,0.0,25.0,2.0,11.0,1.0,9.0,0.0,0.0,1.0,18.0,14.0,0.0,0.0,0.0
18,91419075.0,219.0,0.0,369.0,95.0,120.0,9.0,58.0,130.0,604.0,220.0,63.0,40.0,36.0,15.0,84.0,5.0,30.0,0.0,44.0,16.0,181.0,7.0,0.0,23.0,41.0,80.0,3.0,21.0,124.0,31.0,185.0,3.0,221.0,38.0,71.0,20.0,5.0,64.0,41.0,23.0,168.0,12.0,117.0,73.0,127.0,0.0,13.0,57.0,12.0,13.0,7.0,37.0,20.0,25.0,50.0,9.0,48.0,30.0,42.0,9.0,13.0,0.0,102.0,43.0,14.0,88.0,9.0,12.0,106.0,27.0,127.0,2.0,9.0,8.0,13.0,54.0,33.0,44.0,9.0,0.0,1.0,6.0,0.0,3.0,37.0,8.0,0.0,68.0,78.0,81.0,0.0,99.0,3.0,0.0,19.0,19.0,54.0,5.0,14.0,0.0
19,92405215.0,113.0,0.0,17.0,70.0,9.0,0.0,38.0,75.0,63.0,89.0,3.0,8.0,27.0,5.0,12.0,5.0,33.0,44.0,0.0,4.0,14.0,2.0,0.0,12.0,3.0,11.0,0.0,4.0,14.0,62.0,38.0,0.0,34.0,3.0,13.0,30.0,0.0,38.0,7.0,3.0,24.0,1.0,38.0,39.0,43.0,0.0,8.0,9.0,2.0,9.0,0.0,10.0,8.0,8.0,7.0,0.0,8.0,6.0,7.0,0.0,2.0,0.0,6.0,50.0,8.0,33.0,3.0,0.0,30.0,4.0,9.0,2.0,10.0,1.0,5.0,6.0,1.0,4.0,4.0,0.0,1.0,3.0,0.0,2.0,8.0,0.0,0.0,30.0,8.0,8.0,0.0,50.0,0.0,0.0,4.0,10.0,18.0,4.0,1.0,0.0
